frame,seq,event,label,id,value,score
1104,0,CONTACT_BEGIN,sling-reactive:9,9,0,30
1104,1,CONTACT_BEGIN,sling-corner:9,9,0,30
1104,2,CONTACT_BEGIN,sling-corner:10,10,0,30
1105,0,CONTACT_END,sling-reactive:9,9,0,30
1105,1,HIT,sling-reactive:9,9,0,30
1105,2,CONTACT_END,sling-corner:9,9,0,30
1105,3,CONTACT_END,sling-corner:10,10,0,30
1118,0,CONTACT_BEGIN,left-wall,0,0,30
1119,0,CONTACT_END,left-wall,0,0,30
1151,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,30
1152,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,30
1152,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,30
1156,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,30
1163,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,30
1164,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,30
1164,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,30
1168,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,30
1170,0,CONTACT_BEGIN,plunger-tube,0,0,30
1171,0,CONTACT_END,plunger-tube,0,0,30
1181,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,30
1182,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,30
1182,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,30
1185,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,30
1187,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,30
1188,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,30
