frame,t,ball,x,y,vx,vy,leftAngle,leftOmega,rightAngle,rightOmega,score,plunged,down
191,3.200000286,1,0.546092570,0.637374461,-0.648273528,1.005095243,-0.107058510,-14.815858841,-1.319048405,0.000000000,5,1,0
192,3.216666937,1,0.535287976,0.653793931,-0.648273528,0.985169590,-0.353331089,-14.932746887,-1.009671926,7.406813622,5,1,0
193,3.233333588,1,0.524483442,0.669881344,-0.648273528,0.965243995,-0.600252688,-14.972967148,-0.826170206,11.079428673,5,1,0
194,3.250000238,1,0.513678908,0.685636640,-0.648273528,0.945318401,-0.847015023,-14.963080406,-0.610000312,13.075325966,5,1,0
195,3.266666889,1,0.502874315,0.701059878,-0.648273528,0.925392807,-0.729440033,-0.000000000,-0.377689093,14.069573402,5,1,0
196,3.283333540,1,0.492069781,0.716150999,-0.648273528,0.905467212,-0.691702604,0.000000000,-0.137322158,14.567247391,5,1,0
197,3.300000191,1,0.481265217,0.730910003,-0.648273528,0.885541618,-0.681871355,-0.000000000,0.107062690,14.815860748,5,1,0
198,3.316666842,1,0.470460653,0.745336950,-0.648273528,0.865616024,-0.679310024,0.000000000,0.353335351,14.932746887,5,1,0
199,3.333333492,1,0.459656090,0.759431779,-0.648273528,0.845690429,-0.678642869,0.000000000,0.600257039,14.972966194,5,1,0
200,3.350000143,1,0.448851526,0.773194551,-0.648273528,0.825764835,-0.678468883,0.000000000,0.847019374,14.963080406,5,1,0
201,3.366666794,1,0.438046992,0.786625206,-0.648273528,0.805839241,-0.678423464,0.000000000,0.729442477,0.000000000,5,1,0
202,3.383333445,1,0.427242428,0.799723744,-0.648273528,0.785913587,-0.678411841,0.000000000,0.691703260,-0.000000000,5,1,0
203,3.400000095,1,0.416437864,0.812490284,-0.648273528,0.765987992,-0.678408802,-0.000000000,0.681871653,0.000000000,5,1,0
